ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response
7437,1988,Graduation,Single,27938.00,1.00,0.00,31.00,13.00,0.00,8.00,2.00,1.00,5.00,1.00,1.00,0.00,4.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
8557,1982,Graduation,Single,0.00,1.00,0.00,57.00,11.00,3.00,22.00,2.00,2.00,6.00,2.00,2.00,0.00,3.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
8375,1968,PhD,Married,55954.00,0.00,1.00,63.00,447.00,0.00,28.00,0.00,0.00,43.00,3.00,8.00,2.00,6.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
6853,1982,Master,Single,75777.00,0.00,0.00,12.00,712.00,26.00,538.00,69.00,13.00,80.00,1.00,3.00,6.00,11.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,3.00,11.00,1.00
3076,1975,Graduation,Together,66653.00,1.00,1.00,18.00,452.00,18.00,102.00,16.00,18.00,6.00,4.00,4.00,2.00,12.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
1012,1952,Graduation,Single,61823.00,0.00,1.00,26.00,523.00,7.00,134.00,37.00,14.00,169.00,4.00,8.00,2.00,10.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
6518,1951,PhD,Widow,67680.00,0.00,1.00,8.00,546.00,0.00,48.00,0.00,6.00,6.00,1.00,7.00,3.00,8.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
4137,1948,Graduation,Together,70666.00,0.00,0.00,29.00,398.00,40.00,367.00,119.00,122.00,30.00,1.00,7.00,4.00,4.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
8082,1971,Graduation,Married,25721.00,1.00,0.00,75.00,1.00,3.00,6.00,3.00,6.00,15.00,1.00,1.00,1.00,2.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,1.00
1386,1967,Graduation,Together,32474.00,1.00,1.00,0.00,10.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,2.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
9369,1979,2n Cycle,Single,88194.00,0.00,1.00,19.00,688.00,14.00,309.00,201.00,24.00,38.00,1.00,11.00,10.00,10.00,5.00,1.00,0.00,0.00,1.00,0.00,0.00,3.00,11.00,1.00
4477,1958,Graduation,Together,69096.00,0.00,1.00,4.00,247.00,49.00,159.00,7.00,82.00,109.00,1.00,5.00,2.00,10.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
1357,1970,Graduation,Together,74854.00,1.00,2.00,90.00,856.00,59.00,487.00,58.00,29.00,73.00,7.00,2.00,5.00,5.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
1402,1954,Master,Married,66991.00,0.00,0.00,1.00,496.00,36.00,460.00,189.00,60.00,12.00,3.00,4.00,8.00,6.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
10629,1973,2n Cycle,Married,0.00,1.00,0.00,25.00,25.00,3.00,43.00,17.00,4.00,17.00,3.00,3.00,0.00,3.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
6312,1959,Graduation,Married,65031.00,0.00,1.00,29.00,258.00,107.00,291.00,84.00,37.00,86.00,4.00,10.00,3.00,13.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
8132,1975,PhD,Married,60631.00,1.00,1.00,88.00,565.00,6.00,65.00,0.00,6.00,19.00,5.00,9.00,2.00,8.00,7.00,0.00,1.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
1050,1952,Graduation,Married,28332.00,0.00,0.00,58.00,14.00,10.00,13.00,4.00,15.00,9.00,1.00,2.00,1.00,4.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
5846,1977,Graduation,Divorced,40246.00,1.00,0.00,68.00,2.00,1.00,6.00,2.00,1.00,1.00,1.00,1.00,0.00,2.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
1859,1972,Master,Married,75251.00,0.00,0.00,34.00,721.00,111.00,925.00,97.00,18.00,18.00,1.00,7.00,6.00,5.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,1.00
7503,1976,Graduation,Single,75825.00,0.00,0.00,40.00,1032.00,105.00,779.00,137.00,105.00,51.00,0.00,5.00,8.00,9.00,4.00,1.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,1.00
10401,1976,2n Cycle,Together,26326.00,0.00,0.00,12.00,1.00,0.00,5.00,0.00,3.00,9.00,1.00,0.00,0.00,3.00,3.00,0.00,0.00,0.00,0.00,0.00,1.00,3.00,11.00,0.00
1618,1965,Graduation,Together,56046.00,0.00,0.00,9.00,577.00,0.00,64.00,0.00,0.00,51.00,2.00,10.00,1.00,8.00,8.00,1.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,1.00
3332,1985,Graduation,Single,29760.00,1.00,0.00,87.00,64.00,4.00,68.00,7.00,5.00,17.00,4.00,3.00,1.00,4.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
2261,1969,Graduation,Married,26304.00,1.00,0.00,5.00,4.00,1.00,5.00,2.00,0.00,4.00,1.00,1.00,0.00,2.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
5346,1973,2n Cycle,Married,23559.00,1.00,0.00,87.00,25.00,5.00,19.00,7.00,0.00,23.00,3.00,3.00,0.00,3.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
4119,1963,Master,Together,38620.00,0.00,0.00,56.00,112.00,17.00,44.00,34.00,22.00,89.00,1.00,2.00,5.00,3.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
535,1987,Graduation,Divorced,81361.00,0.00,0.00,18.00,163.00,23.00,424.00,27.00,65.00,76.00,1.00,3.00,10.00,13.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
5268,1960,Graduation,Married,29440.00,1.00,1.00,95.00,17.00,8.00,14.00,10.00,4.00,3.00,2.00,1.00,0.00,4.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
273,1970,Master,Married,36138.00,1.00,1.00,48.00,130.00,0.00,16.00,0.00,0.00,5.00,5.00,3.00,1.00,4.00,7.00,0.00,1.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
4452,1957,Graduation,Single,50388.00,0.00,1.00,3.00,292.00,6.00,37.00,0.00,3.00,34.00,4.00,6.00,1.00,6.00,7.00,0.00,1.00,0.00,1.00,0.00,0.00,3.00,11.00,1.00
8504,1973,Graduation,Married,79593.00,0.00,0.00,70.00,350.00,60.00,568.00,110.00,133.00,145.00,1.00,5.00,6.00,7.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,3.00,11.00,0.00
771,1967,Graduation,Together,54178.00,0.00,1.00,79.00,135.00,9.00,39.00,4.00,0.00,7.00,1.00,2.00,2.00,5.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
8996,1957,PhD,Married,0.00,2.00,1.00,4.00,230.00,42.00,192.00,49.00,37.00,53.00,12.00,7.00,2.00,8.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
9235,1957,Graduation,Single,0.00,1.00,1.00,45.00,7.00,0.00,8.00,2.00,0.00,1.00,1.00,1.00,0.00,2.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
5798,1973,Master,Together,0.00,0.00,0.00,87.00,445.00,37.00,359.00,98.00,28.00,18.00,1.00,2.00,4.00,8.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
11178,1972,Master,Single,42394.00,1.00,0.00,69.00,15.00,2.00,10.00,0.00,1.00,4.00,1.00,1.00,0.00,3.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
2230,1970,PhD,Married,23626.00,1.00,0.00,84.00,27.00,2.00,14.00,0.00,0.00,0.00,3.00,3.00,1.00,3.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
7516,1983,Graduation,Married,30096.00,1.00,0.00,30.00,5.00,3.00,11.00,12.00,5.00,9.00,1.00,2.00,0.00,3.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
7247,1960,Graduation,Widow,47916.00,0.00,1.00,72.00,505.00,0.00,26.00,0.00,0.00,75.00,5.00,7.00,4.00,6.00,6.00,0.00,1.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
11100,1972,Graduation,Divorced,51813.00,1.00,1.00,37.00,51.00,2.00,7.00,0.00,1.00,2.00,2.00,2.00,0.00,3.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
4646,1951,2n Cycle,Married,78497.00,0.00,0.00,44.00,207.00,26.00,447.00,75.00,0.00,223.00,1.00,5.00,7.00,12.00,2.00,0.00,0.00,0.00,1.00,0.00,0.00,3.00,11.00,0.00
3037,1983,PhD,Married,50150.00,0.00,0.00,32.00,135.00,46.00,92.00,65.00,61.00,11.00,2.00,5.00,2.00,7.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
1473,1960,2n Cycle,Single,47823.00,0.00,1.00,0.00,53.00,1.00,5.00,2.00,1.00,10.00,2.00,2.00,0.00,3.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
1016,1959,PhD,Single,34554.00,0.00,1.00,43.00,41.00,1.00,6.00,2.00,0.00,5.00,2.00,2.00,0.00,3.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
4518,1979,Graduation,Together,85693.00,0.00,1.00,59.00,386.00,172.00,183.00,185.00,132.00,111.00,2.00,9.00,5.00,11.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
9370,1945,PhD,Married,65846.00,0.00,0.00,68.00,562.00,81.00,276.00,80.00,40.00,81.00,1.00,6.00,3.00,6.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
8908,1959,Graduation,Married,87195.00,0.00,0.00,35.00,217.00,76.00,690.00,50.00,26.00,38.00,1.00,3.00,11.00,5.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,1.00
8373,1979,Basic,Together,24594.00,1.00,0.00,94.00,1.00,3.00,6.00,10.00,0.00,9.00,1.00,1.00,0.00,3.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
7533,1964,Graduation,Married,49096.00,1.00,1.00,15.00,144.00,1.00,32.00,2.00,1.00,7.00,4.00,4.00,1.00,4.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
2683,1969,Graduation,Married,52413.00,0.00,2.00,56.00,295.00,106.00,271.00,75.00,98.00,65.00,4.00,6.00,4.00,12.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
3629,1978,Graduation,Single,38557.00,1.00,0.00,17.00,76.00,3.00,31.00,4.00,4.00,27.00,2.00,3.00,1.00,3.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
10991,1960,Master,Married,89058.00,0.00,0.00,18.00,454.00,194.00,106.00,31.00,22.00,43.00,1.00,5.00,4.00,4.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
5077,1979,Graduation,Together,77298.00,0.00,1.00,46.00,425.00,115.00,292.00,23.00,35.00,79.00,1.00,6.00,6.00,11.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
7431,1991,PhD,Single,68126.00,0.00,0.00,40.00,1332.00,17.00,311.00,23.00,51.00,86.00,1.00,7.00,4.00,5.00,9.00,0.00,1.00,0.00,0.00,0.00,0.00,3.00,11.00,1.00
3267,1963,Master,Together,57288.00,0.00,1.00,27.00,527.00,0.00,21.00,0.00,0.00,60.00,3.00,8.00,1.00,8.00,6.00,0.00,1.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
999,1991,Graduation,Single,86037.00,0.00,0.00,95.00,490.00,44.00,125.00,29.00,20.00,22.00,1.00,6.00,7.00,11.00,3.00,0.00,1.00,1.00,0.00,0.00,0.00,3.00,11.00,1.00
9215,1980,PhD,Married,43974.00,1.00,0.00,19.00,378.00,0.00,101.00,0.00,0.00,72.00,5.00,6.00,4.00,6.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
2286,1962,Graduation,Single,50785.00,1.00,1.00,27.00,64.00,1.00,21.00,0.00,1.00,27.00,2.00,2.00,1.00,3.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
1592,1970,Graduation,Married,90765.00,0.00,0.00,25.00,547.00,99.00,812.00,151.00,82.00,33.00,0.00,4.00,6.00,5.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,3.00,11.00,0.00
367,1978,2n Cycle,Married,36550.00,1.00,0.00,74.00,47.00,90.00,94.00,123.00,103.00,120.00,5.00,9.00,1.00,5.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
5234,1967,2n Cycle,Together,30753.00,1.00,1.00,85.00,12.00,5.00,25.00,0.00,9.00,30.00,2.00,1.00,1.00,3.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
9862,1969,Graduation,Together,21918.00,1.00,0.00,37.00,1.00,6.00,7.00,11.00,5.00,3.00,2.00,2.00,0.00,3.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
9805,1953,Master,Together,56129.00,0.00,1.00,65.00,320.00,48.00,133.00,39.00,72.00,48.00,4.00,6.00,2.00,10.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
6205,1967,Master,Single,32557.00,1.00,0.00,13.00,34.00,3.00,29.00,0.00,4.00,10.00,3.00,2.00,1.00,3.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,1.00
